Nro;Ubicacion;Rotulado;Descripcion;Marca;Modelo;Matricula Nro;Motor Nro;Chassis Nro;RASP;"Modelo
Año";Valor;Estado;"Fecha
Incorporacion"
25;3ª REGION SANITARIA CORDILLERA;011-03-24-0546;AMBULANCIA;NISSAN;PATROL AYLG;EAC634;03217E;VSKAVU260U0614790;C-0004414;1999;56,797,130;Regular;21/9/1999
26;3ª REGION SANITARIA CORDILLERA;011-03-24-0453;AMBULANCIA;VOLKSWAGEN;KOMBI;***;UC114116;9BWZZZ21ZSP002966;***;1993;8,000,000;Regular;31/5/1997
27;3ª REGION SANITARIA CORDILLERA;011-03-24-0411;AMBULANCIA;TOYOTA;LAND CRUISER;EAC766;1HZ-0126687;HZJ75-0021229;C-0003842;1995;80,000,000;Regular;5/11/2008
28;3ª REGION SANITARIA CORDILLERA;011-318-100-0001;AMBULANCIA;MERCEDES BENZ;510 KA;***;***;WDB6670611N048867;***;1994;60,000,000;Muy Bueno;20/3/2013
29;4ª REGION SANITARIA GUAIRA;011-03-24-0528;AMBULANCIA;NISSAN;1999;***;LD2303518;VWAPF0583XA790198;***;1999;73,407,591;Inutilizado;21/5/1999
30;4ª REGION SANITARIA GUAIRA;12008-453-01-0120;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 982;985710;JTERB71J50F014583;C-0012220;2021;337,829,840;Bueno;15/3/2022
31;5ª REGION SANITARIA CAAGUAZU;011-03-24-0678;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI/F3000;EAE 279;6.11982E+14;8AC9036617A960734;***;2007;189,000,000;Inutilizado;14/1/2007
32;5ª REGION SANITARIA CAAGUAZU;011-03-27-0090;AMBULANCIA;RENAULT;KANGO;EAH 186;K9KV714D266949;8A1FC1E15CL288342;***;2012;122,852,600;Malo;22/8/2012
33;5ª REGION SANITARIA CAAGUAZU;011-03-27-0051;AMBULANCIA;RENAULT;KANGOO EXPRESS CONFORT/2012;EAH 129;K9KA700D185149;8A1FCG715CL994588;C-0008224;2012;122,852,600;Inutilizado;24/7/2012
34;5ª REGION SANITARIA CAAGUAZU;12008-01-60-0047;AMBULANCIA;MERCEDES BENZ;SPRINTER F3665 416 CDI;AANS 067;651958W0141066;8AC907643PE219521;C-0012864;2023;567,407,000;Muy Bueno;14/12/2022
35;6ª REGION SANITARIA CAAZAPA;011-31-01-0939;AMBULANCIA;RENAULT;MASTER/2011;EAJ 266;G9UA754C263658;93YADCUH6BJ775996;***;2011;137,020,000;Inutilizado;14/3/2012
36;6ª REGION SANITARIA CAAZAPA;011-31-01-0938;AMBULANCIA;RENAULT;MASTER/2011;EAJ 267;G9UA754C263989;93YADCUH6BJ775849;***;2011;137,020,000;Inutilizado;14/3/2012
37;6ª REGION SANITARIA CAAZAPA;011-31-01-0937;AMBULANCIA;RENAULT;KANGO EXPRESS CONFORT;EAJ 263;K9KA700D182253;8A1FCG715BL792641;***;2011;72,137,000;Inutilizado;14/3/2012
38;6ª REGION SANITARIA CAAZAPA;011-31-01-0936;AMBULANCIA;RENAULT;KANGO EXPRESS CONFORT;EAJ 265;K9KA700D182138;8A1FCG715BL764393;***;2011;72,137,000;Inutilizado;14/3/2012
39;6ª REGION SANITARIA CAAZAPA;011-31-01-0935;AMBULANCIA;RENAULT;KANGO EXPRESS CONFORT;EAJ 264;K9KA700D182440;8A1FCG715BL792764;***;2011;72,137,000;Inutilizado;14/3/2012
40;6ª REGION SANITARIA CAAZAPA;011-03-24-0640;AMBULANCIA;KIA;PREGIO;EAC 561;J2371882;KNFTRB11247152305;C-0005392;2004;93,515,000;Inutilizado;27/9/2004
41;6ª REGION SANITARIA CAAZAPA;011-03-24-0547;AMBULANCIA;NISSAN;1999;***;03222OE;VSKAVU260U0614789;C-0004522;1999;56,219,389;Inutilizado;4/10/1999
42;6ª REGION SANITARIA CAAZAPA;011-03-24-0460;AMBULANCIA;RENAULT;TRAFIC/1997;EAF 613;AB09886;8A11A13ZZVS013019;C-0002881;1997;70,000,000;Inutilizado;31/5/1997
43;6ª REGION SANITARIA CAAZAPA;011-86-30-0128;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F30;OAZ529;6.11988E+13;8AC903661BE043411;***;2011;147,774,000;Inutilizado;20/3/2012
44;7ª REGION SANITARIA - ITAPUA;011-03-24-0470;AMBULANCIA;NISSAN;PATROL;***;TD4205027;JNIWRG160Z0250010;C-0003836;1996;85,000,000;Regular;31/5/1997
45;8ª REGION SANITARIA MISIONES;011-03-24-0399;AMBULANCIA;TOYOTA;LAND CRUISER;EAC864;1PZ-0017357;PZJ75-0006769;C-0001111;***;60,000,000;Inutilizado;13/11/2008
46;8ª REGION SANITARIA MISIONES;011-218-01-0022;AMBULANCIA;CHEVROLET;***;***;TD25193733;1GCG25FXV1013221;C-0002118;1997;40,000,000;Inutilizado;21/12/2000
47;8ª REGION SANITARIA MISIONES;011-22-72-0001;AMBULANCIA;RENAULT;TRAFIC TA13;EAD 392;5657217;8A1TA13ZZPS003912;***;1993;45,000,000;Inutilizado;31/5/1997
48;9ª REGION SANITARIA PARAGUARI;12008-319-36-0004;AMBULANCIA;HYUNDAI;STAREX;***;***;KMJWS37KBEU637318;***;2014;100,000,000;Regular;17/10/2022
49;10ª REGION SANITARIA ALTO PARANA;011-03-24-0471;AMBULANCIA;TOYOTA;LAND CRUISER;***;2H1078113;HJ60020048;C-0003835;1988;25,000,000;Regular;31/5/1997
50;10ª REGION SANITARIA ALTO PARANA;011-03-27-0406;AMBULANCIA;RENAULT;KANGOO EXPRESS CONFORT/2012;EAH 145;K9KV714D266815;8A1FC1E15CL289707;***;2012;122,852,600;Malo;19/10/2012
51;10ª REGION SANITARIA ALTO PARANA;12008-453-01-0121;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 972;985714;JTERB71J70F014584;C-0012214;2021;337,829,840;Regular;15/3/2022
52;10ª REGION SANITARIA ALTO PARANA;12008-15-16-0046;AMBULANCIA;HYUNDAI;H1;BES 341;***;KMJWAH7HP9U101841;C-0012227;2009;49,598,252;Regular;17/10/2019
53;11ª REGION SANITARIA CENTRAL;011-11-06-3480;AMBULANCIA;HYUNDAI;STAREX;BJH 070;D4BH3881070;KMCWAH7HP3U567452;***;2003;65,975,583;Malo;11/2/2013
54;11ª REGION SANITARIA CENTRAL;011-03-24-0405;AMBULANCIA;TOYOTA;LAND CRUISER;EAE 965;1HZ0125538;HZJ75-0020978;C-0003833;1995;80,000,000;Regular;13/11/2008
55;11ª REGION SANITARIA CENTRAL;011-141-30-0003;AMBULANCIA;KIA;PREGIO;AXL 693;J2371872;KNFTRB11247152330;***;2004;93,515,000;Inutilizado;18/8/2004
56;13ª REGION SANITARIA AMAMBAY;12008-16-07-1692;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWS37KDFU680381;***;2015;155,000,000;Muy Bueno;23/1/2025
57;13ª REGION SANITARIA AMAMBAY;12008-16-07-1691;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWA37KDHU843829;***;2017;165,000,000;Muy Bueno;23/1/2025
58;13ª REGION SANITARIA AMAMBAY;12008-16-07-1690;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWS37KDHU851101;***;2017;165,000,000;Muy Bueno;23/1/2025
59;13ª REGION SANITARIA AMAMBAY;12008-16-07-1689;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWS37KDHU852144;***;2017;165,000,000;Muy Bueno;23/1/2025
60;13ª REGION SANITARIA AMAMBAY;12008-16-07-1688;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWS37KDHU864967;***;2017;165,000,000;Muy Bueno;23/1/2025
61;13ª REGION SANITARIA AMAMBAY;12008-16-07-1687;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWS37KDJU935325;***;2018;175,000,000;Muy Bueno;23/1/2025
62;13ª REGION SANITARIA AMAMBAY;12008-16-07-1686;AMBULANCIA;HYUNDAI;GRAND STAREX;NO SE VISUALIZA;***;KMJWS37KDJU935025;***;2018;175,000,000;Muy Bueno;23/1/2025
63;13ª REGION SANITARIA AMAMBAY;011-03-27-0764;AMBULANCIA;RENAULT;KANGO;EAH 115;K9KV714D266652;8A1FC1E15CL287055;C-0008822;2012;122,852,600;Inutilizado;24/10/2012
64;13ª REGION SANITARIA AMAMBAY;011-03-27-0762;AMBULANCIA;RENAULT;KANGO;EAH 180;K9KV714D266890;8A1FC1E15CL291649;C-0008818;2012;122,852,600;Inutilizado;24/10/2012
65;13ª REGION SANITARIA AMAMBAY;011-03-24-0408;AMBULANCIA;TOYOTA;LAND CRUISER;EAC712;1HZ0126313;HZJ750021148;C-0003838;1995;80,000,000;Inutilizado;14/11/2008
66;13ª REGION SANITARIA AMAMBAY;011-03-24-0407;AMBULANCIA;TOYOTA;LAND CRUISER;EAC867;1HZ0126137;HZJ750021121;C-0001693;1995;80,000,000;Inutilizado;14/11/2008
67;13ª REGION SANITARIA AMAMBAY;011-16-23-0005;AMBULANCIA;KIA;PREGIO;EAC 574;J371878;KNFTRB11247152303;C-0008655;2004;80,000,000;Inutilizado;2/7/2012
68;13ª REGION SANITARIA AMAMBAY;011-16-127-0002;AMBULANCIA;TOYOTA;LAND CRUISER;EAC704;1PZ0017399;PZJ75-0006785;C-0001687;1993;50,000,000;Inutilizado;14/11/2008
69;14ª REGION SANITARIA CANINDEYU;011-03-27-0851;AMBULANCIA;ISUZU;TFS54HSPLMEG-05A013;EAH 440;252588;MPATFS54HDT100916;C-0010510;2012;351,310,180;Malo;5/3/2013
70;14ª REGION SANITARIA CANINDEYU;011-310-06-0707;AMBULANCIA;FORD;RANGER CS 4X4;EAF 764;L1A009876;8AFER11P4BJ405765;C-0010514;2011;377,791,034;Inutilizado;6/4/2011
71;14ª REGION SANITARIA CANINDEYU;011-218-02-0677;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI/F 3550;EAE 775;6.11982E+13;8AC9036629E013510;***;2009;267,200,000;Bueno;28/11/2008
72;14ª REGION SANITARIA CANINDEYU;011-03-24-0635;AMBULANCIA;KIA;PREGIO;EAC 575;J2-371875;KNFTRB11247152306;C-0005395;2004;93,515,000;Muy Bueno;27/9/2004
73;14ª REGION SANITARIA CANINDEYU;011-03-24-0510;AMBULANCIA;NISSAN;1999;***;01086E;VSKAVU260U0612761;C-0001590;1999;70,174,943;Inutilizado;10/3/1999
74;14ª REGION SANITARIA CANINDEYU;011-03-27-0407;AMBULANCIA;RENAULT;KANGOO EXPRESS CONFORT/2012;EAH 097;K9KV714D266908;8A1FC1E15CL288900;C-0008980;2012;122,852,600;Inutilizado;19/10/2012
75;14ª REGION SANITARIA CANINDEYU;011-03-27-0237;AMBULANCIA;RENAULT;MASTER/2012;EAH 067;G9UA754C273383;93YADCUH6CJ274712;C-0008191;2012;267,804,000;Muy Bueno;11/10/2012
76;14ª REGION SANITARIA CANINDEYU;12008-453-01-0117;AMBULANCIA;TOYOTA;LAND CRUISER;AALR 852;985608;JTERB71J60F014561;C-0012212;2021;337,829,840;Bueno;15/3/2022
77;14ª REGION SANITARIA CANINDEYU;12008-453-01-0112;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 273;985485;JTERB71J00F014538;C-0012213;2021;337,829,840;Bueno;15/3/2022
78;14ª REGION SANITARIA CANINDEYU;011-03-27-0054;AMBULANCIA;RENAULT;KANGO;EAH 151;K9KA700D185282;8A1FCG715CL994438;C-0010512;2012;122,852,600;Malo;24/7/2012
79;15ª REGION SANITARIA PRESIDENTE HAYES;011-03-24-0668;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F3000;EAE 350;6.11988E+13;8AC9036617A955770;***;2007;189,000,000;Inutilizado;11/1/2007
80;15ª REGION SANITARIA PRESIDENTE HAYES;011-03-27-0127;AMBULANCIA;RENAULT;KANGO;EAH 087;K9KV714D266811;8A1FC1E15CL289689;C-0009022;2012;122,852,600;Malo;28/9/2012
81;17ª REGION SANITARIA ALTO PARAGUAY;12008-381-01-2058;AMBULANCIA;HYUNDAI;GRAN STAREX;AAKV 748;***;KMJWA37KDFU665150;C-0012492;2015;200,000,000;Regular;11/4/2022
82;17ª REGION SANITARIA ALTO PARAGUAY;011-03-27-0853;AMBULANCIA;ISUZU;TFS54HSPLMEG-05A013;EAH 443;252240;MPATFS54HDT100923;***;2013;351,310,180;Regular;5/3/2013
83;16ª REGION SANITARIA BOQUERON;011-03-27-0796;AMBULANCIA;RENAULT;KANGO;EAH 271;K9KV714D267011;8A1FC1E15CL287653;C-0008987;2012;122,852,600;Bueno;26/10/2012
84;16ª REGION SANITARIA BOQUERON;011-03-24-0607;AMBULANCIA;NISSAN;TERRANO;***;TD27-012512Y;VSKTVUR20U04660739;***;***;70,000,000;Muy Bueno;11/4/2003
85;16ª REGION SANITARIA BOQUERON;12008-01-60-0224;AMBULANCIA;ISUZU;TFS4XJSLCMBDQLA010;AAMZ 912;XM7071;MPATFS40JPT001058;***;2023;547,219,000;Bueno;23/12/2022
86;16ª REGION SANITARIA BOQUERON;12008-01-60-0222;AMBULANCIA;ISUZU;TFS4XJSLCMBDQLA010;AAMZ 906;XM7026;MPATFS40JPT001056;***;2023;547,219,000;Bueno;23/12/2022
87;16ª REGION SANITARIA BOQUERON;12008-453-01-0110;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 271;985479;JTERB71J30F014534;C-0012211;2021;337,829,840;Bueno;15/3/2022
88;16ª REGION SANITARIA BOQUERON;12008-01-60-0040;AMBULANCIA;MERCEDES BENZ;SPRINTER F3665 416 CDI;AANP 989;651958W0137150;8AC907643PE215530;C-0012458;2023;567,407,000;Bueno;14/12/2022
89;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-567-03-7398;AMBULANCIA;NISSAN;FRONTIER;EAK 188;YD25604120P;3N6PD21T6ZK927756;***;2014;251,711,000;Muy Bueno;24/2/2014
90;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-567-03-7397;AMBULANCIA;NISSAN;FRONTIER;EAK 194;YD25604088P;3N6PD21T6ZK927711;***;2014;251,711,000;Muy Bueno;24/2/2014
91;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-567-03-7390;AMBULANCIA;NISSAN;PATROL;EAK 189;ZD30329829K;JN1TESY61Z0567099;***;2013;258,079,300;Malo;25/2/2014
92;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7350;AMBULANCIA;RENAULT;MASTER;AANN 724;M9TA876CO47547;93YMAF4KCNJ111401;C-0012177;2022;459,415,005;Bueno;7/2/2022
93;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7342;AMBULANCIA;RENAULT;MASTER;AANN 714;M9TA876CO47549;93YMAF4KCNJ111400;C-0012180;2022;459,415,006;Bueno;7/2/2022
94;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7334;AMBULANCIA;RENAULT;MASTER;AANN 666;M9TA876CO47398;93YMAF4KCNJ111399;C-0012182;2022;459,415,006;Bueno;7/2/2022
95;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7326;AMBULANCIA;RENAULT;MASTER;AANN 661;M9TA876CO47401;93YMAF4KCNJ111398;C-0012863;2022;459,415,006;Bueno;7/2/2022
96;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7294;AMBULANCIA;RENAULT;MASTER;AANN 684;M9TA876CO47504;93YMAF4KCNJ111394;C-0012187;2022;459,415,006;Bueno;7/2/2022
97;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7286;AMBULANCIA;RENAULT;MASTER;AANN 722;M9TA876CO47410;93YMAF4KCNJ111393;C-0012181;2022;459,415,006;Bueno;7/2/2022
98;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7270;AMBULANCIA;RENAULT;MASTER;AANN 669;M9TA876CO47409;93YMAF4KCNJ111391;C-0012178;2022;459,415,006;Regular;7/2/2022
99;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-01-50-7262;AMBULANCIA;RENAULT;MASTER;AANN 715;M9TA876CO47493;93YMAF4KCNJ111390;C-0012188;2022;459,415,006;Bueno;7/2/2022
100;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-310-05-1359;AMBULANCIA;IVECO;DAILY 45- 170;***;F1CE3481C*7301770*****;93ZK142CZN8496382;***;2022;856,363,363;Muy Bueno;12/6/2025
101;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-310-05-1358;AMBULANCIA;IVECO;DAILY 30 160 VAN;***;F1CFL411CU7339392;93ZC635BZT8212077;***;2026;856,363,363;Muy Bueno;12/6/2025
102;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-310-05-1357;AMBULANCIA;IVECO;DAILY 30 160 VAN;***;F1CFL411CU7330568;93ZC635BZR8206992;***;2024;856,363,363;Muy Bueno;12/6/2025
103;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0704;AMBULANCIA;FORD;RANGER CS;EAF 774;L1A001365;8AFER11P5BJ361680;C-0010554;2011;377,791,034;Regular;24/3/2011
104;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0696;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI/F3550;EAF 569;6.11982E+13;8AC903662AE031769;C-0007302;2010;261,117,500;Malo;22/7/2010
105;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-02-0686;AMBULANCIA;RENAULT;MASTER/2008;EAE 794;G9UA724C039463;93YADCUD58J015380;C-0010865;2008;227,000,000;Muy Bueno;27/2/2009
106;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-02-0685;AMBULANCIA;RENAULT;MASTER/2008;EAE 781;G9UA724C039580;93YADCUD58J015364;***;2008;227,000,000;Muy Bueno;27/2/2009
107;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-218-02-0680;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI/F 3550;EAE 774;6.11982E+13;8AC9036629E015447;C-0010246;2009;267,200,000;Bueno;28/11/2008
108;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0484;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 953;784239;JTGRB71J4E7018035;C-0010066;2014;204,985,000;Bueno;8/11/2016
109;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0483;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 966;783850;JTGRB71J0E7017982;C-0010065;2014;204,985,000;Muy Bueno;8/11/2016
110;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0482;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 957;781561;JTGRB71J8E7017731;C-0010064;2014;204,985,000;Muy Bueno;8/11/2016
111;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0481;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 998;784625;JTGRB71J9E7018080;C-0010063;2014;222,841,000;Bueno;15/12/2016
112;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0399;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 975;785683;JTGRB71J4E7018245;C-0010062;2014;222,841,000;Bueno;15/12/2016
113;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0397;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 969;785280;JTGRB71J6E7018182;C-0010060;2014;222,841,000;Bueno;15/12/2016
114;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0396;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 995;784318;JTGRB71J5E7018044;C-0010059;2014;222,841,000;Bueno;15/12/2016
115;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0395;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 983;784609;JTGRB71J0E7018078;C-0010058;2014;222,841,000;Regular;15/12/2016
116;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0394;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 978;784619;JTGRB71J2E7018079;C-0010057;2014;222,841,000;Bueno;15/12/2016
117;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0393;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 971;785303;JTGRB71JXE7018184;C-0010056;2014;222,841,000;Malo;15/12/2016
118;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0392;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 986;785614;JTGRB71J8E7018233;C-0010055;2014;222,841,000;Regular;15/12/2016
119;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0391;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 974;784482;JTGRB71J1E7018249;C-0010054;2014;222,841,000;Bueno;15/12/2016
120;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0387;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 972;785509;JTGRB71J6E7018232;C-0010050;2014;222,841,000;Regular;15/12/2016
121;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0386;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 973;785705;JTGRB71J8E7018250;C-0010049;2014;222,841,000;Muy Bueno;15/12/2016
122;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0385;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 970;784200;JTGRB71J9E7018046;C-0010048;2014;222,841,000;Bueno;15/12/2016
123;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0378;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 990;785326;JTGRB71J5E7018187;C-0010041;2014;222,841,000;Regular;15/12/2016
